2015068,27150621261810,8,"326,767,662元","465,249,696元"
2015067,05242531020814,13,"296,388,770元","460,773,196元"
2015066,17081128052416,5,"295,073,100元","475,169,355元"
2015065,29260814101912,7,"326,011,866元","456,496,222元"
2015064,14272312111701,7,"298,850,352元","437,144,743元"
2015063,07091632220112,7,"291,740,962元","425,356,078元"
2015062,18261415092116,2,"323,470,788元","420,456,986元"
2015061,18260632223304,3,"300,873,544元","366,514,881元"
2015060,18012731320313,5,"294,398,362元","325,336,905元"
2015059,25061602320914,3,"327,035,284元","311,068,287元"
2015058,10180220091915,9,"302,422,308元","255,306,348元"
2015057,25243220092604,4,"298,048,220元","254,227,996元"
2015056,01081820160714,7,"333,455,694元","224,467,579元"
2015055,19101801281502,6,"308,523,870元","208,855,998元"
2015054,22011026070207,10,"305,342,532元","196,780,010元"
2015053,32071703332210,9,"337,772,948元","209,305,224元"
2015052,25041626110212,17,"312,855,530元","203,256,114元"
2015051,32042426102809,3,"311,895,918元","252,880,206元"
2015050,17121603093104,4,"330,490,908元","231,625,820元"
2015049,23170720121405,9,"304,091,626元","213,425,469元"
2015048,27221613172510,13,"314,318,648元","222,018,030元"
2015047,20242627020309,12,"353,219,880元","259,871,028元"
2015046,31230510140701,2,"324,849,386元","300,076,800元"
2015045,30312201130507,5,"317,791,860元","244,649,655元"
2015044,14040316130202,44,"361,973,072元","236,303,584元"
2015043,26112427121515,11,"333,265,010元","437,343,962元"
2015042,23102109193208,18,"328,582,874元","445,522,068元"
2015041,25110917042106,17,"355,451,862元","505,889,468元"
2015040,27301618321316,4,"320,385,120元","560,707,072元"
2015039,26301329011512,7,"304,495,842元","527,688,511元"
2015038,33110506121414,1,"330,881,502元","521,569,463元"
2015037,31052807181203,0,"311,121,894元","456,745,930元"
2015036,33041706162603,5,"314,978,372元","385,090,460元"
2015035,09010824223303,13,"354,232,116元","356,011,799元"
2015034,27131812201713,5,"319,035,578元","372,366,860元"
2015033,31063221290305,2,"316,147,976元","350,190,906元"
2015032,16291814321116,6,"356,881,788元","322,806,048元"
2015031,22260105073211,10,"322,648,288元","301,014,330元"
2015030,08111415261607,6,"313,853,770元","308,254,584元"
2015029,14150728211907,7,"350,574,266元","290,603,075元"
2015028,04282627071014,8,"318,360,502元","282,421,976元"
2015027,07292616090507,26,"313,056,664元","269,549,046元"
2015026,33171302222113,16,"346,132,854元","399,549,056元"
2015025,11321527121014,0,"301,966,294元","428,205,689元"
2015024,09231124181610,6,"297,320,432元","361,697,874元"
2015023,09081329103001,9,"371,421,794元","344,102,175元"
2015022,10160704232510,7,"428,626,486元","333,076,429元"
2015021,14272817161508,16,"369,500,210元","311,412,624元"
2015020,04070123192204,7,"404,738,304元","359,013,634元"
2015019,26190611022504,12,"363,865,754元","337,065,060元"
2015018,12280906142909,10,"356,589,678元","343,063,140元"
2015017,20181327332512,7,"405,548,808元","357,142,667元"
2015016,10061715023113,10,"370,190,678元","326,819,010元"
2015015,07332524012004,6,"369,504,840元","325,790,184元"
2015014,19163027021211,72,"413,004,748元","305,609,400元"
2015013,26090825292401,12,"371,312,910元","649,780,284元"
2015012,31232905220306,21,"370,574,586元","649,012,056元"
2015011,"14041518172015
                    		
                       	 幸运12",5,"448,888,738元","710,557,160元"
2015010,"02080321013109
                    		
                       	 幸运05",7,"408,876,968元","650,777,351元"
2015009,"14252117070414
                    		
                       	 幸运13",13,"406,130,598元","642,387,330元"
2015008,"16220710042003
                    		
                       	 幸运16",6,"441,162,104元","641,915,910元"
2015007,"17010933072008
                    		
                       	 幸运07",8,"396,557,494元","615,032,608元"
2015006,"33011011293113
                    		
                       	 幸运09",7,"381,704,996元","613,260,305元"
2015005,"07183217161015
                    		
                       	 幸运01",7,"434,233,966元","589,772,988元"
2015004,"16151402232410
                    		
                       	 幸运04",5,"391,871,604元","551,117,080元"
2015003,"31152310242015
                    		
                       	 幸运11",5,"389,418,150元","529,251,380元"
2015002,"15282516320705
                    		
                       	 幸运08",13,"445,131,362元","504,837,957元"
2015001,"09010723162006
                    		
                       	 幸运01",8,"389,811,558元","512,536,696元"
2014152,"15082120132512
                    		
                       	 幸运02",12,"403,970,126元","504,014,400元"
2014151,"08272111050408
                    		
                       	 幸运01",13,"436,728,282元","521,118,039元"
2014150,"03222432081409
                    		
                       	 幸运14",9,"393,965,122元","557,171,217元"
2014149,"15191033090701
                    		
                       	 幸运05",2,"386,664,128元","562,421,886元"
2014148,"05021201151613
                    		
                       	 幸运01",9,"425,097,618元","479,691,558元"
2014147,"06260731223210
                    		
                       	 幸运07",4,"385,071,740元","460,352,344元"
2014146,"32012906201301
                    		
                       	 幸运02",3,"383,982,986元","428,190,888元"
2014145,"12232926131011
                    		
                       	 幸运13",9,"428,104,998元","359,386,704元"
2014144,"06030510092714
                    		
                       	 幸运15",6,"379,438,954元","350,262,546元"
2014143,25201803261216,14,"375,707,362元","323,244,502元"
2014142,25062822212313,5,"419,262,206元","343,788,680元"
2014141,21091608112410,22,"374,573,402元","298,381,028元"
2014140,10141711063306,5,"369,928,040元","355,086,600元"
2014139,15142529200111,10,"416,872,552元","340,012,160元"
2014138,04290631133313,5,"379,450,576元","333,290,635元"
2014137,06112903250909,27,"377,779,080元","296,658,774元"
2014136,32193103271610,1,"419,949,224元","405,577,188元"
2014135,33040213112501,4,"380,304,722元","332,494,676元"
2014134,23282205162602,7,"374,813,426元","279,769,385元"
2014133,14133116233013,4,"417,287,906元","245,415,332元"
2014132,06051415331808,5,"372,487,192元","215,841,500元"
2014131,28212205321714,7,"396,591,384元","211,523,816元"
2014130,01103024330210,3,"402,591,108元","176,970,840元"
2014129,20280809320502,7,"359,082,268元","127,351,182元"
2014128,18240507170814,10,"358,520,804元","87,337,680元"
2014127,23212702101212,15,"405,427,926元","71,262,030元"
2014126,17062711221601,28,"374,635,140元","92,547,000元"
2014125,11153110322606,5,"369,171,242元","177,881,270元"
2014124,33022417312004,3,"414,603,564元","149,338,971元"
2014123,11330128061705,31,"374,248,054元","66,611,994元"
2014122,20062916110911,16,"372,450,634元","178,571,232元"
2014121,13220128300209,15,"414,246,034元","216,715,500元"
2014120,01120728162304,23,"380,941,988元","236,996,485元"
2014119,26062017132909,16,"374,297,910元","293,508,896元"
2014118,26073015051803,15,"412,610,364元","348,405,240元"
2014117,25052910172804,9,"376,251,864元","364,535,919元"
2014116,10151409291916,8,"355,472,106元","349,707,904元"
2014115,32101101091303,107,"393,986,920元","329,463,486元"
2014114,02072333323010,4,"336,622,164元","803,604,936元"
2014113,31323314281207,2,"376,332,046元","794,394,502元"
2014112,01153021162403,16,"438,774,340元","754,185,552元"
2014111,08282220170202,5,"391,471,380元","809,720,000元"
2014110,01300813111906,4,"384,948,858元","759,917,456元"
2014109,05191128021502,16,"437,600,916元","732,608,704元"
2014108,08202309280302,14,"393,047,674元","735,850,612元"
2014107,22271711251416,5,"387,176,276元","752,252,140元"
2014106,21180917142515,4,"422,052,940元","718,893,160元"
2014105,27191714321604,6,"379,715,550元","662,968,446元"
2014104,02062819122713,5,"358,170,510元","624,461,375元"
2014103,08103318090304,8,"396,768,732元","589,633,520元"
2014102,31242114162813,3,"368,749,750元","582,985,842元"
2014101,18162332242007,2,"359,712,392元","529,892,270元"
2014100,09011610140611,3,"401,949,134元","472,918,194元"
2014099,05321310110114,4,"358,086,522元","432,609,020元"
2014098,17312920130207,5,"353,151,800元","392,834,215元"
2014097,27132425073215,3,"390,727,104元","369,675,882元"
2014096,17122224141908,4,"357,432,576元","312,395,240元"
2014095,22050806143108,5,"348,187,212元","279,324,805元"
2014094,23012910201801,2,"394,513,356元","273,173,708元"
2014093,10200802290905,23,"361,310,882元","207,035,236元"
2014092,03221913182607,8,"355,694,942元","308,790,808元"
2014091,05012927121914,7,"395,683,536元","312,855,494元"
2014090,19240905113213,17,"361,007,810元","285,022,119元"
2014089,27140430170609,15,"349,996,988元","327,508,140元"
2014088,16031406291115,4,"378,895,304元","380,020,836元"
2014087,18062333322206,6,"346,294,212元","341,554,266元"
2014086,14021210043008,6,"342,885,520元","321,991,524元"
2014085,02291901112308,15,"383,964,576元","300,168,090元"
2014084,13250106100908,6,"348,439,746元","324,879,900元"
2014083,23330521061912,6,"342,671,260元","316,186,254元"
2014082,20042629022511,6,"376,072,870元","297,439,788元"
2014081,29082227241410,6,"345,588,442元","275,196,240元"
2014080,25053014171607,1,"339,602,048元","251,469,908元"
2014079,02282207271602,7,"371,546,996元","198,155,300元"
2014078,06020309170507,9,"340,877,252元","169,313,373元"
2014077,15220912081910,8,"335,080,206元","174,008,032元"
2014076,33101218170611,3,"375,634,222元","177,753,477元"
2014075,22291127090306,24,"341,705,034元","133,787,352元"
2014074,30060331011312,1,"333,005,878元","211,476,892元"
2014073,12203330160102,5,"368,813,894元","158,150,815元"
2014072,01131932070316,3,"324,184,472元","92,535,036元"
2014071,22041202172514,34,"332,837,230元","30,000,000元"
2014070,07092819012907,25,"381,932,126元","46,472,150元"
2014069,19120530172511,10,"344,427,596元","144,097,840元"
2014068,13222712042916,3,"333,498,724元","162,571,614元"
2014067,17062301071806,16,"369,752,334元","91,365,232元"
2014066,05021821171516,3,"326,106,482元","117,743,004元"
2014065,22040805100306,14,"331,291,864元","50,353,786元"
2014064,32022909161514,14,"362,553,032元","51,701,734元"
2014063,22170831210316,8,"318,559,312元","55,534,992元"
2014062,09152425062609,58,"324,555,900元","30,000,000元"
2014061,14280217312708,16,"348,086,982元","63,402,256元"
2014060,03251814053306,1,"332,537,430元","77,191,491元"
2014059,12052513082313,14,"332,914,310元","33,384,288元"
2014058,03142512130211,38,"395,239,936元","35,549,494元"
2014057,31120402182308,6,"357,051,002元","211,270,800元"
2014056,28200111182901,6,"355,820,816元","189,835,134元"
2014055,19302109021404,8,"399,255,230元","166,904,832元"
2014054,01110529043014,14,"362,404,232元","163,007,572元"
2014053,22311719142602,1,"357,050,160元","192,683,993元"
2014052,28301315330908,14,"388,520,458元","130,683,658元"
2014051,21192410231613,7,"355,097,144元","172,124,407元"
2014050,26321703252313,6,"356,974,970元","153,092,388元"
2014049,32072316170606,15,"395,100,460元","138,239,115元"
2014048,24251609170616,10,"328,158,768元","167,548,980元"
2014047,11190810122915,6,"367,083,108元","175,063,188元"
2014046,02221810111710,10,"407,325,576元","151,808,850元"
2014045,04020922111915,22,"375,431,708元","173,383,408元"
2014044,27042809332112,4,"373,074,342元","234,600,372元"
2014043,02140509332409,16,"415,843,112元","210,637,936元"
2014042,33282515122014,0,"373,018,334元","267,308,119元"
2014041,21180722111602,2,"365,242,842元","180,069,774元"
2014040,04120311061508,9,"406,009,192元","129,726,387元"
2014039,15311103192007,5,"363,687,932元","140,977,080元"
2014038,23072422330416,9,"356,364,376元","95,544,036元"
2014037,24142530061307,18,"385,617,546元","64,542,096元"
2014036,08110709012203,30,"378,585,748元","115,259,940元"
2014035,17073332080906,10,"385,901,784元","239,056,900元"
2014034,01080425033106,20,"432,189,956元","242,743,280元"
2014033,33133228052312,17,"403,193,612元","319,148,956元"
2014032,33142922010207,3,"397,424,848元","363,106,803元"
2014031,27102116170414,16,"443,595,958元","331,429,504元"
2014030,30121924182310,8,"396,594,924元","343,001,056元"
2014029,07211629021414,8,"396,072,528元","335,945,528元"
2014028,16212730320605,8,"435,709,368元","309,604,392元"
2014027,31083014161001,2,"384,105,632元","301,167,546元"
2014026,23061105020114,2,"376,888,174元","234,682,846元"
2014025,16300105141016,3,"420,328,670元","176,129,274元"
2014024,08101623203009,24,"380,942,014元","102,252,288元"
2014023,09211713072210,13,"379,325,720元","192,597,457元"
2014022,06212607100416,8,"422,477,050元","208,621,864元"
2014021,29102217150812,9,"376,012,996元","190,297,125元"
2014020,09251423241715,4,"369,800,298元","195,215,928元"
2014019,20151910022107,5,"409,381,396元","149,062,025元"
2014018,13333021171815,5,"366,787,508元","152,153,450元"
2014017,26062504140710,24,"354,286,552元","89,220,000元"
2014016,07022421031308,3,"394,728,698元","189,407,019元"
2014015,11193032330209,11,"345,827,928元","153,702,230元"
2014014,04222519290915,10,"340,281,006元","174,399,960元"
2014013,15211305170913,12,"447,850,102元","174,532,572元"
2014012,21241901110808,6,"364,615,256元","193,817,286元"
2014011,14132132091002,7,"400,827,700元","185,230,836元"
2014010,33310507200811,2,"359,922,428元","168,977,284元"
2014009,19200925083216,6,"348,408,848元","127,264,176元"
2014008,30211614052912,8,"392,135,484元","99,040,432元"
2014007,28121418081014,13,"346,606,050元","58,697,890元"
2014006,07271703042114,70,"369,941,458元","30,000,000元"
2014005,33181532272304,6,"414,088,906元","237,244,320元"
2014004,25011924042215,5,"373,155,800元","201,488,460元"
2014003,10333006281112,6,"363,993,362元","169,237,320元"
2014002,32043133232104,6,"408,021,124元","157,176,954元"
2014001,09272920031501,3,"371,341,368元","136,130,274元"
2013154,19110729241405,16,"382,836,786元","69,636,912元"
